date,project,platform,country,ad_network,ad_placement,ad_type,revenue,impressions,ecpm
2026-05-14,项目A,android,US,UnityAds,banner_home,banner,54.78,8899,6.16
2026-05-14,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,141.25,20116,7.02
2026-05-14,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,192.41,32411,5.94
2026-05-14,项目A,android,BR,UnityAds,banner_home,banner,39.51,3071,12.87
2026-05-14,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,74.47,6812,10.93
2026-05-14,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,121.08,12426,9.74
2026-05-14,项目A,android,IN,UnityAds,banner_home,banner,27.12,3370,8.05
2026-05-14,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,67.57,7732,8.74
2026-05-14,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,113.17,11043,10.25
2026-05-14,项目A,android,PH,UnityAds,banner_home,banner,26.4,2504,10.54
2026-05-14,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,47.56,6768,7.03
2026-05-14,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,84.23,7874,10.7
2026-05-14,项目A,android,VN,UnityAds,banner_home,banner,20.32,3313,6.13
2026-05-14,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,52.72,7782,6.77
2026-05-14,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,59.86,8966,6.68
2026-05-14,项目A,ios,US,UnityAds,banner_home,banner,27.88,5547,5.03
2026-05-14,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,68.31,12588,5.43
2026-05-14,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,104.01,18906,5.5
2026-05-14,项目A,ios,BR,UnityAds,banner_home,banner,19.04,3067,6.21
2026-05-14,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,41.4,6780,6.11
2026-05-14,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,51.66,8678,5.95
2026-05-14,项目A,ios,IN,UnityAds,banner_home,banner,18.66,1783,10.47
2026-05-14,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,41.03,4665,8.8
2026-05-14,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,54.6,7050,7.74
2026-05-14,项目A,ios,PH,UnityAds,banner_home,banner,13.53,2412,5.61
2026-05-14,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,34.02,5527,6.16
