date,project,country,platform,dau,new_users,revenue,ad_revenue,arpdau,ecpm,impressions,impressions_per_dau
2026-05-14,项目A,US,android,11367,2004,1040.76,476.15,0.0916,8.25,57707,5.08
2026-05-14,项目A,US,ios,7072,822,473.9,208.06,0.067,9.79,21245,3.0
2026-05-14,项目A,BR,android,6410,706,489.42,203.52,0.0764,9.66,21074,3.29
2026-05-14,项目A,BR,ios,3553,480,248.79,115.58,0.07,6.67,17316,4.87
2026-05-14,项目A,IN,android,6950,1196,457.38,199.61,0.0658,5.56,35927,5.17
2026-05-14,项目A,IN,ios,3538,485,236.9,105.68,0.067,6.47,16342,4.62
2026-05-14,项目A,PH,android,5421,911,441.15,170.83,0.0814,9.17,18631,3.44
2026-05-14,项目A,PH,ios,3130,442,231.23,97.02,0.0739,8.84,10975,3.51
2026-05-14,项目A,VN,android,4404,508,278.22,126.57,0.0632,7.16,17676,4.01
2026-05-14,项目A,VN,ios,2172,368,142.38,56.49,0.0656,5.56,10165,4.68
2026-05-15,项目A,US,android,11606,1419,943.38,444.22,0.0813,10.36,42865,3.69
2026-05-15,项目A,US,ios,6500,1156,489.79,220.98,0.0754,9.48,23319,3.59
2026-05-15,项目A,BR,android,8057,871,570.11,226.04,0.0708,7.76,29117,3.61
2026-05-15,项目A,BR,ios,3595,515,263.8,108.56,0.0734,6.39,17001,4.73
2026-05-15,项目A,IN,android,7028,722,524.88,187.41,0.0747,6.53,28705,4.08
2026-05-15,项目A,IN,ios,3445,438,263.91,123.33,0.0766,9.72,12693,3.68
2026-05-15,项目A,PH,android,5077,732,386.99,135.9,0.0762,4.96,27426,5.4
2026-05-15,项目A,PH,ios,2880,473,212.84,87.43,0.0739,6.45,13563,4.71
2026-05-15,项目A,VN,android,4674,724,287.62,115.53,0.0615,7.47,15474,3.31
2026-05-15,项目A,VN,ios,2148,303,167.58,59.42,0.078,5.42,10961,5.1
2026-05-16,项目A,US,android,11294,1255,1007.75,433.04,0.0892,10.04,43125,3.82
2026-05-16,项目A,US,ios,6644,1168,414.72,198.69,0.0624,6.22,31958,4.81
2026-05-16,项目A,BR,android,6768,933,537.19,237.57,0.0794,10.82,21963,3.25
2026-05-16,项目A,BR,ios,3715,565,335.27,128.33,0.0902,8.86,14486,3.9
2026-05-16,项目A,IN,android,5244,665,487.17,185.42,0.0929,7.62,24346,4.64
2026-05-16,项目A,IN,ios,2887,408,241.72,106.47,0.0837,10.24,10399,3.6
2026-05-16,项目A,PH,android,4543,492,354.48,161.51,0.078,11.52,14024,3.09
2026-05-16,项目A,PH,ios,2619,274,226.19,87.17,0.0864,10.72,8128,3.1
2026-05-16,项目A,VN,android,3805,389,291.16,137.56,0.0765,6.59,20882,5.49
2026-05-16,项目A,VN,ios,1831,236,163.15,72.4,0.0891,8.02,9024,4.93
2026-05-17,项目A,US,android,11185,1821,988.74,355.69,0.0884,9.3,38265,3.42
2026-05-17,项目A,US,ios,5658,631,541.58,236.28,0.0957,8.15,28978,5.12
2026-05-17,项目A,BR,android,6038,1000,627.6,272.67,0.1039,10.42,26174,4.33
2026-05-17,项目A,BR,ios,3833,646,229.68,106.97,0.0599,5.82,18374,4.79
2026-05-17,项目A,IN,android,6079,1016,444.47,196.44,0.0731,6.71,29262,4.81
2026-05-17,项目A,IN,ios,3584,514,250.97,103.77,0.07,6.08,17080,4.77
2026-05-17,项目A,PH,android,5284,839,437.99,180.09,0.0829,8.27,21779,4.12
2026-05-17,项目A,PH,ios,2707,428,219.62,78.38,0.0811,8.65,9062,3.35
2026-05-17,项目A,VN,android,4163,594,374.01,163.45,0.0898,7.4,22076,5.3
2026-05-17,项目A,VN,ios,2075,337,159.52,63.34,0.0769,9.56,6624,3.19
2026-05-18,项目A,US,android,13134,2095,906.17,319.94,0.069,5.77,55417,4.22
2026-05-18,项目A,US,ios,7653,930,502.14,228.31,0.0656,9.67,23617,3.09
2026-05-18,项目A,BR,android,7837,922,495.53,208.4,0.0632,5.01,41630,5.31
2026-05-18,项目A,BR,ios,3626,562,332.47,117.34,0.0917,5.91,19855,5.48
2026-05-18,项目A,IN,android,6417,1006,564.29,204.08,0.0879,9.85,20714,3.23
2026-05-18,项目A,IN,ios,3830,423,291.83,114.85,0.0762,7.28,15772,4.12
2026-05-18,项目A,PH,android,5047,838,498.35,225.06,0.0987,8.24,27319,5.41
2026-05-18,项目A,PH,ios,2759,427,229.97,85.75,0.0834,5.87,14598,5.29
2026-05-18,项目A,VN,android,4168,651,379.83,157.0,0.0911,10.44,15036,3.61
2026-05-18,项目A,VN,ios,2322,407,200.95,81.85,0.0865,11.47,7135,3.07
2026-05-19,项目A,US,android,13478,1856,1162.81,525.0,0.0863,10.1,51982,3.86
2026-05-19,项目A,US,ios,7072,1120,578.8,238.27,0.0818,9.29,25654,3.63
2026-05-19,项目A,BR,android,7965,1363,603.16,214.93,0.0757,5.95,36148,4.54
2026-05-19,项目A,BR,ios,4306,734,303.66,141.22,0.0705,6.52,21669,5.03
2026-05-19,项目A,IN,android,6532,681,503.89,195.23,0.0771,8.1,24088,3.69
