date,project,dau,new_users,revenue,ad_revenue,iap_revenue,arpdau,ecpm,impressions,impressions_per_dau,d1_retention,d7_retention
2026-05-14,项目A,55419,7178,4152.24,1777.06,2375.18,0.0749,6.87,258602,4.67,0.3594,0.1332
2026-05-15,项目A,56945,9044,4092.3,1670.05,2422.25,0.0719,6.56,254414,4.47,0.3227,0.1309
2026-05-16,项目A,50788,8865,3946.63,1418.29,2528.34,0.0777,6.19,229134,4.51,0.339,0.1332
2026-05-17,项目A,52042,9355,4126.88,1738.65,2388.23,0.0793,10.35,168042,3.23,0.36,0.1131
2026-05-18,项目A,58149,9289,4236.86,1646.5,2590.36,0.0729,5.97,275589,4.74,0.364,0.1001
2026-05-19,项目A,55752,6475,4912.45,1848.76,3063.69,0.0881,9.49,194738,3.49,0.337,0.1011
2026-05-20,项目A,57632,9651,4478.49,1609.23,2869.26,0.0777,8.4,191513,3.32,0.378,0.1001
2026-05-21,项目A,57845,7748,4504.23,1861.36,2642.87,0.0779,7.5,248045,4.29,0.3564,0.1441
2026-05-22,项目A,55438,9530,5118.96,1949.68,3169.28,0.0923,7.06,276100,4.98,0.3619,0.1207
2026-05-23,项目A,49337,8188,4900.83,1728.12,3172.71,0.0993,9.97,173320,3.51,0.3595,0.1012
2026-05-24,项目A,53045,8971,4601.97,1958.18,2643.79,0.0868,8.58,228316,4.3,0.3518,0.1448
2026-05-25,项目A,61975,7217,4768.64,1899.55,2869.09,0.0769,8.47,224329,3.62,0.372,0.1089
2026-05-26,项目A,58241,9052,5098.67,1821.11,3277.56,0.0875,7.49,243175,4.18,0.3426,0.1276
2026-05-27,项目A,61903,7056,5172.37,2191.13,2981.24,0.0836,6.57,333624,5.39,0.345,0.1046
