date,project,platform,dau,new_users,revenue,ad_revenue,arpdau,ecpm,impressions
2026-05-15,项目A,android,36958,5899,2626.48,995.72,0.0711,5.51,180656
2026-05-15,项目A,ios,20516,2132,1494.18,573.59,0.0728,8.26,69475
2026-05-16,项目A,android,34533,5906,2400.4,878.76,0.0695,6.49,135405
2026-05-16,项目A,ios,17007,2534,1310.66,547.33,0.0771,6.31,86785
2026-05-17,项目A,android,31019,3716,2536.62,912.05,0.0818,5.78,157868
2026-05-17,项目A,ios,17518,3072,1452.98,512.86,0.0829,7.85,65297
2026-05-18,项目A,android,34542,4276,2741.12,1095.58,0.0794,7.37,148628
2026-05-18,项目A,ios,17905,3094,1595.24,591.68,0.0891,8.22,72024
2026-05-19,项目A,android,36295,3816,2821.42,1317.91,0.0777,8.76,150364
2026-05-19,项目A,ios,19835,3481,1705.77,796.94,0.086,7.51,106178
2026-05-20,项目A,android,35257,4908,3110.24,1169.04,0.0882,6.24,187300
2026-05-20,项目A,ios,20764,2677,1713.23,687.88,0.0825,9.06,75893
2026-05-21,项目A,android,37815,5684,3315.97,1408.62,0.0877,8.3,169732
2026-05-21,项目A,ios,21432,3290,1737.9,667.79,0.0811,6.35,105100
2026-05-22,项目A,android,35964,5878,3103.08,1092.6,0.0863,7.77,140600
2026-05-22,项目A,ios,19494,2011,1519.88,559.27,0.078,8.12,68847
2026-05-23,项目A,android,31958,5514,2936.56,1165.98,0.0919,7.85,148513
2026-05-23,项目A,ios,17343,2903,1427.9,604.49,0.0823,6.82,88596
2026-05-24,项目A,android,37533,5615,2809.64,1264.58,0.0749,9.59,131894
2026-05-24,项目A,ios,17200,2282,1672.95,622.67,0.0973,8.34,74700
2026-05-25,项目A,android,38728,6459,2995.52,1276.82,0.0773,7.61,167765
2026-05-25,项目A,ios,20663,2944,1690.31,680.16,0.0818,6.35,107124
2026-05-26,项目A,android,37300,5617,3524.26,1571.22,0.0945,11.43,137503
2026-05-26,项目A,ios,20473,2782,1852.9,675.12,0.0905,8.32,81133
2026-05-27,项目A,android,40589,4563,3369.15,1201.16,0.083,6.44,186577
2026-05-27,项目A,ios,21599,3631,1815.86,691.72,0.0841,9.65,71683
2026-05-28,项目A,android,39529,5888,3156.97,1333.27,0.0799,6.2,215012
2026-05-28,项目A,ios,19615,3427,1929.44,713.23,0.0984,9.18,77734
